var_id	tag	cdx_name	array	notes
0x0267	RTT	ReminderTubingDate	g2	0..2147483647 step 1
0x0268	RTH	ReminderHumidifierDate	g2	0..2147483647 step 1
0x0269	RLC	RequestLCDColour	g2	0..16777215 step 1
0x026A	RUI		g2	1..64 step 1
0x026B	RFL	PatientFlow	g2	-2..3 step 0.01
0x026C	RF5	PatientFlow-100hz	g2	-2..3 step 0.01
0x026D	RFU		g2	-2..3 step 0.01
0x026E	RR9	Summary-RespiratoryRate-95	g2	0..90 step 1
0x026F	RRA	Summary-RespiratoryRate-100	g2	0..90 step 1
0x0270	RRM	Summary-RespiratoryRate-50	g2	0..90 step 1
0x0271	RDC		g2	0..4095 step 1
0x0272	RCC	Summary-ReraIndex	g2	active_vids=3; 0..240 step 0.1
0x0273	ZS6		g2	0..2147483647 step 1
0x0274	CUD	LastTherapyUseDateTime	g2	0..2147483647 step 1
0x0275	SCS		g2	0..1440 step 1
0x0276	MHU	MachineRunMeter	g2	0..315360000 step 1; modes=CPAP,AutoSet,HerAuto,Spont,ST,Timed,VAuto,ASV,ASVAuto,iVAPS,PAC
0x0277	MHR	MotorRunMeter	g2	0..315360000 step 1
0x0278	MHS	MotorRunSinceLastServiceMeter	g2	0..315360000 step 1
0x0279	ZSE		g2	0..2147483647 step 1
0x027A	ZDD		g2	0..24836 step 1
0x027B	ZDT		g2	0..2147483647 step 1
0x027C	CPD		g2	0..1440 step 1
0x027D	PHM	TherapyRunMeter	g2	0..315360000 step 1
0x027E	SW0		g2	0..2147483647 step 1
0x027F	SLT		g2	0..2147483647 step 1
0x0280	PR2	AdcPressureMonitoring	g2	0..4095 step 1
0x0281	PS1	PressureMonitorGain	g2	0.00976562..1.000977 step 0.00024414
0x0282	PZ1	PressureMonitorOffset	g2	0..4096 step 1
0x0283	SMD		g2	0..24836 step 1
0x0284	SMT		g2	0..2147483647 step 1
0x0285	SHC	SettingsHistoryChangeCount	g2	0..2147483647 step 1
0x0286	SHU		g2	0..2147483647 step 1
0x0287	SAD		g2	0..24836 step 1
0x0288	SAT		g2	0..2147483647 step 1
0x0289	CFL	MotorFlowDrive	g2	0..3 step 0.01
0x028A	SSD	SetMotorSpeed	g2	2000..47500 step 1
0x028B	SPP		g2	0..30 step 0.2
0x028C	SPH	SetPressure-100hz	g2	0..30 step 0.2
0x028D	SFP		g2	0..2147483647 step 1
0x028E	SFQ		g2	0..2147483647 step 1
0x028F	SPC		g2	0..2147483647 step 1
0x0290	SRQ		g2	0..2147483647 step 1
0x0291	SFK	RawLeak	g2	-1..4 step 0.02
0x0292	SF5	RawLeak-50hz	g2	-1..4 step 0.02
0x0293	SVB		g2	-2147483647..2147483647 step 1
0x0294	SNI	SnoreIndex	g2	0..5 step 0.02
0x0295	SN5	SnoreIndex-50hz	g2	0..5 step 0.02
0x0296	SRP		g2	0..20 step 0.2
0x0297	SR5	SnoreTreatmentPressure-50hz	g2	0..20 step 0.2
0x0298	ZS8		g2	0..2147483647 step 1
0x0299	MCS		g2	0..2147483647 step 1
0x029A	SSC	SoundcheckTestCount	g2	1..255 step 1
0x029B	L20		g2	0..100 step 1
0x029C	SAO	SpO2	g2	0..100 step 1
0x029D	SO9	Summary-SpO2-95	g2	0..100 step 1
0x029E	SOX	Summary-SpO2-100	g2	0..100 step 1
0x029F	SOM	Summary-SpO2-50	g2	0..100 step 1
0x02A0	SAU		g2	0..1440 step 1
0x02A1	TBB		g2	0..65535 step 1
0x02A2	SBC		g2	0..65535 step 1
0x02A3	VCR	Summary-SpontCyclePercentage	g2	active_vids=7,10; 0..100 step 1
0x02A4	VSR	Summary-SpontTriggerPercentage	g2	active_vids=7,10; 0..100 step 1
0x02A5	SP2		g2	0..2147483647 step 1
0x02A6	SKF		g2	-2147483647..2147483647 step 1
0x02A7	STU	AutoSet-StartPressure	g2	active_vids=3; 4..20 step 0.2
0x02A8	STP	Cpap-StartPressure	g2	4..20 step 0.2
0x02A9	SVD	StorageVersionId	g2	3..3 step 1
0x02AA	XA2	ST-TargetExpiratoryPressure	g2	active_vids=10; 2..25 step 0.2; modes=ST
0x02AB	XAP	ST-FallTime	g2	INACT; 0.1..0.7 step 0.1; modes=ST
0x02AC	XF1		g2	active_vids=10; 0..200 step 1; modes=ST
0x02AD	XF0		g2	active_vids=10; 0..200 step 1; modes=ST
0x02AE	XA1	ST-TargetInspiratoryPressure	g2	active_vids=10; 4..25 step 0.2; modes=ST
0x02AF	XA6	ST-SetRespiratoryRate	g2	active_vids=10; 0..50 step 1
0x02B0	XAA	ST-RiseTime	g2	active_vids=10; 0.15..0.9 step 0.05; modes=ST
0x02B1	XA3	ST-StartPressure	g2	active_vids=10; 2..25 step 0.2
0x02B2	XAD	ST-TargetRespiratoryRate	g2	INACT; 0..50 step 1
0x02B3	XA7	ST-SetMaxInspiratoryTime	g2	active_vids=10; 0.3..4 step 0.1; modes=ST
0x02B4	XA8	ST-SetMinInspiratoryTime	g2	active_vids=10; 0.1..4 step 0.1; modes=ST
0x02B5	PUN		g2	0..255 step 1
0x02B6	PPD		g2	0..1440 step 1
0x02B7	SNC		g2	0..2147483647 step 1
0x02B8	SSV		g2	-2147483647..2147483647 step 1
0x02B9	ZRE		g2	0..2147483647 step 1
0x02BA	SCL		g2	0..3750 step 1
0x02BB	SCM		g2	0..5000 step 1
0x02BC	SCG		g2	1000..3000 step 1
0x02BD	ZPM		g2	0..2147483647 step 1
0x02BE	SET		g2	0..2147483647 step 1
0x02BF	STK		g2	0..2147483647 step 1
0x02C0	ZZ2	Spont-TargetExpiratoryPressure	g2	active_vids=7,10; 2..25 step 0.2; modes=Spont
0x02C1	Z17	Spont-FallTime	g2	INACT; 0.1..0.7 step 0.1; modes=Spont
0x02C2	Z15		g2	-2147483647..2147483647 step 1; modes=Spont
0x02C3	Z14		g2	0..200 step 1
0x02C4	Z13		g2	0..200 step 1
0x02C5	ZZ1	Spont-TargetInspiratoryPressure	g2	active_vids=7,10; 4..25 step 0.2; modes=Spont
0x02C6	ZZ6		g2	10..10 step 1
0x02C7	Z10	Spont-RiseTime	g2	active_vids=7,10; 0.15..0.9 step 0.05; modes=Spont
0x02C8	ZZ3	Spont-StartPressure	g2	active_vids=7,10; 2..25 step 0.2
0x02C9	ZZ7	Spont-SetMaxInspiratoryTime	g2	active_vids=7,10; 0.3..4 step 0.1; modes=Spont
0x02CA	ZZ8	Spont-SetMinInspiratoryTime	g2	active_vids=7,10; 0.1..4 step 0.1; modes=Spont
0x02CB	TGT		g2	active_vids=12; 0..30 step 0.125; modes=ASV,ASVAuto
0x02CC	TVP	TargetMinuteVentilation	g2	active_vids=12; 0..30 step 0.125
